1980,11789,6662
1981,12192,6633
1982,12274,6437
1983,11921,6496
1984,11610,6067
1985,11797,5774
1986,10792,5477
1987,11124,5501
1988,10527,5063
1989,9922,4645
1990,9534,4390
1991,9656,4355
1992,9326,4132
1993,8960,3730
1994,9130,3588
1995,9222,3666
1996,8728,3497
1997,8841,3424
1998,8575,3069
1999,8080,3077
2000,8131,2934
2001,8188,2968
2002,8106,3057
2003,8179,2971
2004,7939,2794
2005,7523,2737
2006,7225,2540
2007,7009,2393
2008,7039,2412
2009,7228,2388
2010,7465,2556
2011,7646,2498
2012,7287,2603
2013,7449,2627
2014,7624,2585
2015,7397,2681
2016,7374,2464
2017,6985,2250
2018,7111,2285
2019,6842,2199
2020,6944,2262
