GENESIS-Tabelle: 23211-0004
Gestorbene: Deutschland, Jahre, Todesursachen, Geschlecht,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Altersgruppen;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Todesursachenstatistik;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Deutschland;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gestorbene (Anzahl);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht
;;männlich;männlich;männlich;männlich;männlich;männlich;männlich;männlich;männlich;männlich;männlich;männlich;männlich;männlich;männlich;männlich;männlich;männlich;weiblich;weiblich;weiblich;weiblich;weiblich;weiblich;weiblich;weiblich;weiblich;weiblich;weiblich;weiblich;weiblich;weiblich;weiblich;weiblich;weiblich;weiblich
;;Altersgruppen;Altersgruppen;Altersgruppen;Altersgruppen;Altersgruppen;Altersgruppen;Altersgruppen;Altersgruppen;Altersgruppen;Altersgruppen;Altersgruppen;Altersgruppen;Altersgruppen;Altersgruppen;Altersgruppen;Altersgruppen;Altersgruppen;Altersgruppen;Altersgruppen;Altersgruppen;Altersgruppen;Altersgruppen;Altersgruppen;Altersgruppen;Altersgruppen;Altersgruppen;Altersgruppen;Altersgruppen;Altersgruppen;Altersgruppen;Altersgruppen;Altersgruppen;Altersgruppen;Altersgruppen;Altersgruppen;Altersgruppen
;;unter 1 Jahr;1 bis unter 15 Jahre;15 bis unter 20 Jahre;20 bis unter 25 Jahre;25 bis unter 30 Jahre;30 bis unter 35 Jahre;35 bis unter 40 Jahre;40 bis unter 45 Jahre;45 bis unter 50 Jahre;50 bis unter 55 Jahre;55 bis unter 60 Jahre;60 bis unter 65 Jahre;65 bis unter 70 Jahre;70 bis unter 75 Jahre;75 bis unter 80 Jahre;80 bis unter 85 Jahre;85 Jahre und mehr;Alter unbekannt;unter 1 Jahr;1 bis unter 15 Jahre;15 bis unter 20 Jahre;20 bis unter 25 Jahre;25 bis unter 30 Jahre;30 bis unter 35 Jahre;35 bis unter 40 Jahre;40 bis unter 45 Jahre;45 bis unter 50 Jahre;50 bis unter 55 Jahre;55 bis unter 60 Jahre;60 bis unter 65 Jahre;65 bis unter 70 Jahre;70 bis unter 75 Jahre;75 bis unter 80 Jahre;80 bis unter 85 Jahre;85 Jahre und mehr;Alter unbekannt
1980;Vorsätzliche Selbstbeschädigung;-;109;458;856;875;709;951;1203;1102;1055;783;463;842;921;769;437;256;-;-;22;157;239;290;219;356;501;488;558;642;512;764;755;603;377;178;1
1981;Vorsätzliche Selbstbeschädigung;-;117;549;927;947;821;939;1311;1174;1061;755;526;731;878;781;454;221;-;-;24;186;250;286;267;305;524;473;548;637;478;721;757;583;373;221;-
1982;Vorsätzliche Selbstbeschädigung;-;99;508;929;990;894;857;1381;1219;1109;756;581;633;765;802;491;260;-;-;27;173;259;275;270;310;469;490;560;582;539;609;681;626;369;198;-
1983;Vorsätzliche Selbstbeschädigung;-;92;475;851;909;890;763;1299;1291;1047;812;595;553;800;746;525;271;2;-;28;154;268;282;290;316;477;475;499;541;624;537;770;631;395;209;-
1984;Vorsätzliche Selbstbeschädigung;-;63;440;887;904;878;790;1110;1243;1025;877;645;472;721;754;546;255;-;-;19;128;223;279;265;276;460;481;446;500;585;400;739;594;426;246;-
1985;Vorsätzliche Selbstbeschädigung;-;63;416;907;948;963;751;1013;1355;1051;837;648;435;772;742;586;308;2;-;27;131;236;240;277;245;380;481;470;485;520;442;664;557;382;237;-
1986;Vorsätzliche Selbstbeschädigung;-;40;351;786;798;808;751;854;1218;996;934;610;468;637;705;555;281;-;-;15;107;233;278;251;231;317;489;403;435;469;425;623;599;361;241;-
1987;Vorsätzliche Selbstbeschädigung;-;39;357;739;873;812;817;783;1219;1058;964;663;541;598;781;568;312;-;-;9;96;194;233;247;248;296;496;465;394;495;485;566;615;412;250;-
1988;Vorsätzliche Selbstbeschädigung;-;38;272;710;801;793;776;681;1184;1025;882;670;561;482;743;590;319;-;-;9;78;198;237;224;245;259;442;426;331;428;470;428;620;402;266;-
1989;Vorsätzliche Selbstbeschädigung;-;28;249;615;756;781;691;613;982;1090;815;668;583;406;699;550;396;-;-;3;79;162;214;214;229;186;405;427;338;379;472;362;558;369;248;-
1990;Vorsätzliche Selbstbeschädigung;-;22;209;591;713;775;723;628;883;1068;894;642;488;382;579;584;353;-;-;9;48;180;216;218;201;206;328;393;323;344;429;321;490;404;280;-
1991;Vorsätzliche Selbstbeschädigung;-;27;200;575;765;758;757;728;798;1144;783;752;515;395;597;493;369;-;-;6;65;120;198;213;241;225;315;419;329;336;406;329;452;417;284;-
1992;Vorsätzliche Selbstbeschädigung;-;26;185;489;755;821;778;769;687;1016;799;681;499;426;472;529;394;-;-;12;49;114;181;203;217;220;256;400;312;317;353;393;438;409;258;-
1993;Vorsätzliche Selbstbeschädigung;-;47;181;451;693;774;737;745;653;898;859;672;494;460;426;487;383;-;-;13;56;101;158;213;177;210;227;395;323;302;294;377;292;368;224;-
1994;Vorsätzliche Selbstbeschädigung;-;30;212;470;729;812;784;774;702;894;876;615;570;466;317;509;370;-;-;17;59;111;159;191;195;231;222;323;320;264;316;361;239;343;237;-
1995;Vorsätzliche Selbstbeschädigung;-;38;220;410;631;821;833;864;706;848;884;647;616;450;345;508;401;-;-;14;66;110;144;199;231;229;204;319;365;262;302;337;273;327;284;-
1996;Vorsätzliche Selbstbeschädigung;-;36;224;365;659;782;796;771;728;728;858;640;562;403;355;440;381;-;-;13;52;105;165;186;212;226;231;268;351;258;270;370;271;283;236;-
1997;Vorsätzliche Selbstbeschädigung;-;28;237;363;554;793;845;826;808;699;916;618;571;447;348;380;408;-;-;8;61;81;158;205;201;230;252;249;351;266;264;296;267;288;247;-
