1,2021,1,0,14,172
1,2021,2,0,14,116
1,2021,3,0,14,153
1,2021,4,0,14,143
1,2021,5,0,14,172
1,2021,6,0,14,163
1,2021,7,0,14,162
1,2021,8,0,14,157
1,2021,9,0,14,156
1,2021,10,0,14,185
1,2021,11,0,14,147
1,2021,1,15,29,197
1,2021,2,15,29,189
1,2021,3,15,29,216
1,2021,4,15,29,234
1,2021,5,15,29,239
1,2021,6,15,29,287
1,2021,7,15,29,272
1,2021,8,15,29,221
1,2021,9,15,29,237
1,2021,10,15,29,261
1,2021,11,15,29,208
1,2021,1,30,34,162
1,2021,2,30,34,126
1,2021,3,30,34,159
1,2021,4,30,34,154
1,2021,5,30,34,136
1,2021,6,30,34,145
1,2021,7,30,34,163
1,2021,8,30,34,151
1,2021,9,30,34,144
1,2021,10,30,34,150
1,2021,11,30,34,133
1,2021,1,35,39,209
1,2021,2,35,39,183
1,2021,3,35,39,241
1,2021,4,35,39,233
1,2021,5,35,39,250
1,2021,6,35,39,250
1,2021,7,35,39,204
1,2021,8,35,39,253
1,2021,9,35,39,266
1,2021,10,35,39,246
1,2021,11,35,39,207
1,2021,1,40,44,349
1,2021,2,40,44,331
1,2021,3,40,44,353
1,2021,4,40,44,340
1,2021,5,40,44,361
1,2021,6,40,44,336
1,2021,7,40,44,295
1,2021,8,40,44,314
1,2021,9,40,44,307
1,2021,10,40,44,336
1,2021,11,40,44,342
1,2021,1,45,49,586
1,2021,2,45,49,505
1,2021,3,45,49,530
1,2021,4,45,49,531
1,2021,5,45,49,572
1,2021,6,45,49,515
1,2021,7,45,49,544
1,2021,8,45,49,503
1,2021,9,45,49,546
1,2021,10,45,49,526
1,2021,11,45,49,533
1,2021,1,50,54,1290
1,2021,2,50,54,1115
1,2021,3,50,54,1139
1,2021,4,50,54,1253
1,2021,5,50,54,1170
1,2021,6,50,54,1088
1,2021,7,50,54,1041
1,2021,8,50,54,1043
1,2021,9,50,54,1043
1,2021,10,50,54,1113
1,2021,11,50,54,1146
1,2021,1,55,59,2286
1,2021,2,55,59,1900
1,2021,3,55,59,2039
1,2021,4,55,59,2212
1,2021,5,55,59,2186
1,2021,6,55,59,2074
1,2021,7,55,59,1955
1,2021,8,55,59,1982
1,2021,9,55,59,1895
1,2021,10,55,59,2049
1,2021,11,55,59,2077
1,2021,1,60,64,3255
1,2021,2,60,64,2901
1,2021,3,60,64,2839
1,2021,4,60,64,2973
1,2021,5,60,64,3033
1,2021,6,60,64,2846
1,2021,7,60,64,2803
1,2021,8,60,64,2704
1,2021,9,60,64,2743
1,2021,10,60,64,2973
1,2021,11,60,64,3123
1,2021,1,65,69,4329
1,2021,2,65,69,3655
1,2021,3,65,69,3712
1,2021,4,65,69,3851
1,2021,5,65,69,3861
1,2021,6,65,69,3571
1,2021,7,65,69,3550
1,2021,8,65,69,3415
1,2021,9,65,69,3421
